Filename,Lower Label,Upper Label,Minimum Value,Midpoint Value,Maximum Value,Number of Steps,Second,Rating
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,1,7.8010475
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,2,0.930772222
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,3,8.813263889
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,4,14.39790278
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,5,29.5026125
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,6,33.07155
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,7,33.246075
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,8,38.51076111
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,9,46.68412222
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,10,47.120425
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,11,48.2548
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,12,50.785325
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,13,48.77835278
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,14,45.60790833
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,15,53.60674444
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,16,59.77313333
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,17,59.656775
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,18,56.2827175
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,19,49.592775
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,20,51.13437222
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,21,62.85631389
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,22,62.94356667
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,23,66.25945556
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,24,66.7801075
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,25,75.71262222
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,26,79.2612
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,27,79.93018333
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,28,80.04652778
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,29,77.31239167
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,30,76.701575
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,31,76.701575
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,32,76.701575
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,33,80.83188056
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,34,82.722525
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,35,82.722525
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,36,82.722525
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,37,84.70040278
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,38,85.0261775
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,39,85.6021
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,40,85.39849167
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,41,78.70855278
C:\Users\zuratos\Desktop\2F10_08.avi,very negative,very positive,-100,0,100,9,42,76.701575
