Filename,Lower Label,Upper Label,Minimum Value,Midpoint Value,Maximum Value,Number of Steps,Second,Rating
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,1,0
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,2,27.7778
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,3,50
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,4,50
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,5,50
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,6,33.3333
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,7,0
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,8,0
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,9,20
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,10,33.3333
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,11,50
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,12,50
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,13,41.6667
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,14,8.3333
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,15,-25
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,16,-15
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,17,16.6667
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,18,25
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,19,25
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,20,25
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,21,25
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,22,47.2222
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,23,75
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,24,75
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,25,75
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,26,38.8889
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,27,0
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,28,0
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,29,0
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,30,0
C:\Users\Public\Videos\Sample Videos\Wildlife.wmv,very negative,very positive,-100,0,100,9,31,0
